Cód. Art.;Descripcion;Anul;cant;codprecan;resto;codpreres
224;PIAM. MORTADELA 808 CILINDRO;no;4;;0;
225;PIAM. MORTADELA BOLOGNA;no;28;;0;
226;PIAM. MORTADELA VEJIGA;no;3;;0;
227;PIAM. JAMON COCIDO;no;11;;0;
228;PIAM. F COC DE PATA CERDO CUADRADO;no;8;;0;
229;PIAM. FIAMBRE PALETA DE CERDO;no;-5;;0;
230;PIAM. F PALETA CERDO 131;no;48;;0;
231;PIAM. PALETA P/ EMPAREDADO 131;no;11;;0;
232;PIAM. JAMON CRUDO SIN CUERO SIN HUESO;no;2;;0;
233;PIAM. JAMON CRUDO DESHUESADO SIN TACC;no;0;;0;
234;PIAM. LOMO CERDO FINAS HIERBAS;no;0;;0;
235;PIAM. LOMO DE CERDO COCIDO;no;3;;0;
236;PIAM. PALETA COCIDA E/V X 200 GRS;no;73;;0;
237;PIAM. JAMON COC. FET E/V X 200 GRS;no;35;;0;
238;PIAM. MILAN FET E/V X 150 GRS;no;86;;0;
239;PIAM. BONDIOLA FET E/V X 150;no;12;;0;
240;PALETA FETEADA X KILO;no;80;;0;
241;JAMON FETEADO X KILO;no;158;;0;
242;PIAM. SALCHICHA PARRILLERA X KG;no;-2;;0;
243;PIAM. CHORIZO CERDO FRESCO X KG;no;4;;0;
244;PIAM. MORCILLA A/V X KG;no;4;;0;
245;PIAM. JAMON CRUDO FET E/V X 150 GRS;no;1;;0;
246;PIAM. PANCETA AH. FET A/V X 150;no;0;;0;
247;PIAM. BOMBON JAMON COCIDO;no;11;;0;
248;PIAM. JAMON NATURAL LIBRE DE GLUTEN;no;0;;0;
249;PIAM. CHORIZO A/V X 16 UNID;no;-3;;0;
250;CHORIZO COLORADO 214;no;0;;0;
251;MORTADELA SOCHA 214 X KG.;no;9;;0;
252;SALAME GRUESO 214 - CRIOLLO X KG.;no;2;;0;
253;SALCHICHON PRIMAVERA 214;no;7;;0;
255;CA JAMON COCIDO CERDO;no;0;;0;
256;CA JAMON COCIDO NATURAL MILLENIUM;no;4;;0;
257;CA JAMON CRUDO FETEADO X 150 GRS;no;0;;0;
258;CA CHORIZO SECO DE CERDO;no;0;;0;
259;CABAÑA A. MORTADELA BOLOG. X KG;no;0;;0;
260;CENTURION PALETA COCIDA X KG;no;0;;0;
261;CA PECHUGA DE PAVO;no;0;;0;
262;CA SALAME FUET C/EMPLUME (B10);no;0;;0;
263;CA SALAME DE CERDO;no;0;;0;
264;CA SALAME A LAS FINAS HIERBAS;no;0;;0;
265;CA LONGANIZA CALABRESA;no;0;;0;
266;CA SALAME PEPPERONI;no;2;;0;
267;COLITAS QUESO;no;-180;;0;
270;CAGNOLI FIAMBRE PATA CERDO;no;7;;0;
271;CAGNOLI JAMON COCIDO;no;1;;0;
272;CAGNOLI PANCETA AHUMADA;no;99;;0;
273;CAGNOLI SALAME MILAN;no;0;;0;
274;CAGNOLI JAMON COCCION LENTA;no;6;;0;
275;CAGNOLI LOMO HORNEADO F/H;no;9;;0;
276;CAGNOLI SALAME FUET X 150 (B10);no;10;;5;
277;CAGNOLI SPIANATTA;no;0;;0;
278;CAGNOLI CALABRESA BASTON;no;0;;0;
279;CAGNOLI LONGANIZA BASTON;no;0;;0;
280;CAGNOLI CALABRESA SALAMIN TIRA;no;0;;0;
281;CAGNOLI SALAME BASTON P/G;no;0;;0;
282;CAGNOLI SALAME BASTON P/F;no;0;;0;
283;CAGNOLI SALAMIN ATM PICANTE;no;13;;0;
284;CAGNOLI SALAMIN ATM AHUMADO;no;3;;0;
285;CAGNOLI MORTADELA BOCHA;no;0;;0;
286;CAGNOLI SALAMIN P/G X KG;no;0;;0;
287;CAGNOLI SALAMIN P/F X KG;no;0;;0;
288;CAGNOLI SALAMIN TANDIL FINO A/V;no;6;;0;
289;CAGNOLI SALAMIN TANDIL GRUESO A/V;no;8;;0;
290;ALTEZZA FIAM. EMPAREDADO;no;0;;0;
291;CHACRA SALAME MILAN;no;0;;0;
292;CHACRA SALAME BASTON P/G;no;0;;0;
293;CHACRA SALAME BASTON P/F;no;0;;0;
294;CHACRA SALAMIN P/G;no;0;;0;
295;CHACRA SALAMIN P/F;no;0;;0;
296;CHACRA PANCETA AHUMADA;no;0;;0;
297;CAG.MORTADELA C/PISTACHO X 250GR;no;22;;0;
298;CAGNOLI SALAME FUET SERRANO;no;4;;0;
299;CAGNOLI SALAMIN ESPECIADO FH;no;3;;0;
300;MARGARINA VEGETAL X 200 (B30);no;38;;27;
301;MARGARINA VEGETAL X 500 (B12);no;54;;11;
302;MARGADAN VEGETAL X 200 (B30);no;41;;12;
303;MARGADAN VEGETAL X 500 (B12);no;39;;1;
304;DAN EQUILIBRIO VEG. PAN X 200 (B30);no;0;;0;
306;DELICIA VEGETAL X 200 (B30);no;0;;0;
307;DELICIA VEGETAL X 500 (B12);no;0;;0;
308;DAN DORADA VEGE POTE X 210 (B24);no;8;;8;
309;DAN EQUILIBRIO VEG POTE X 220 (B24);no;8;;11;
310;SOFT LIGHT VEGETAL POTE X 200 (B24);no;14;;14;
311;MANTY CLASICA PAN X 200 (B30);no;18;;29;
312;VEGETALINA X 500 (B12);no;0;;0;
313;MARGARINA PILON MASAS X 5 (B4);no;0;;-2;
314;MARGARINA PILON HOJALDRE X 5 (B4);no;0;;0;
315;MARGADAN MASAS X 5 (B4);no;0;;0;
316;PRIMOR MASAS X 5 (B4);no;0;;0;
317;MANTERINA MASAS X 5 (B4);no;0;;0;
318;CREMALDA X 1 LT. (B12);no;0;;0;
319;MARGADAN HOJALDRE X 5 KG (B4);no;0;;0;
320;PRIMOR HOJALDRE X 5 KG (B4);no;0;;0;
321;MANTERINA HOJAL PLACA X 2 KG (B10);no;0;;2;
322;FLORA DAN MARG VEGANA PAN (B30);no;0;;0;
323;MARGARINA HOJALDRE X 2 (B5);no;0;;0;
326;MAYONESA D'FIESTA X 100 (B20);no;542;;16;
327;MAYONESA D'FIESTA X 250 (B24);no;196;;0;
328;MAYONESA D'FIESTA X 500 (B24);no;129;;0;
329;MAYONESA D'FIESTA X 1000 (B8);no;65;;4;
330;MAYODAN X 250 CC (B24);no;22;;4;
331;MAYODAN X 500 CC (B24);no;20;;12;
332;MAYODAN X 1 KG (B8);no;0;;2;
333;MAYODAN X 2900 CC (B4);no;137;;0;
334;MAYONESA DANICA X 100 (B20);no;56;;5;
335;MAYONESA DANICA X 250 (B24);no;7;;19;
336;MAYONESA DANICA X 500 (B24);no;33;;6;
337;MAYONESA DANICA X 1 KG (B8);no;21;;4;
338;MAYONESA EQUILIBRIO X 250 (B24);no;0;;0;
339;MAYONESA EQUILIBRIO X 500 (B24);no;1;;3;
340;MAYONESA MINI X 8 GRS (192U);no;-2;;0;
341;MOSTAZA X 60 (B24);no;-4;;-5;
343;MOSTAZA X 3000 (B4);no;11;;0;
344;MOSTAZA MINI X 8 GRS;no;63;;0;
345;KETCHUP X 50 (B24);no;148;;8;
347;KETCHUP X 3 KG (B4);no;9;;3;
348;KETCHUP X 8 GRS (192U);no;97;;0;
349;SALSA GOLF X 100 (B20);no;2;;3;
353;SALSA BARBACOA X 220 (B12);no;20;;1;
354;D'FIESTA KETCHUP X 220 (B12);no;-2;;0;
355;D'FIESTA MOSTAZA X 220 (B12);no;0;;1;
356;SALSA BARBACOA MINI X 8 GRS (192U);no;4;;0;
357;SALSA BARBACOA X 3 KG (B4);no;4;;0;
358;SALSA BBQ D´FIESTA X 220 (B12);no;19;;1;
360;DANICA BRILLO LISTO DANASWEET X 14 KG;no;0;;0;
361;DANICA DANPAN ADIT MEJOR PL X 10 KG;no;0;;0;
363;DANICA EMULDAN BIDON X 10 KG;no;0;;0;
364;DANICA IMPULDAN ADIT. MEJORADOR X 10 KG;no;0;;0;
365;DANICA PREMEZCLA BUDIN DANMIX X 5 KG;no;0;;0;
366;DANICA PREMEZCLA PAN QUESO LEYENDA X 5 KG;no;0;;0;
367;POL.BIZCOCHUELO VAINILLA X 10;no;1;;0;
368;CREMA PASTELERA EN FRIO X 5 KG;no;0;;0;
369;PRIMOR REF X 20 KG;no;0;;0;
370;MAYONESA DANICA X 2.900 KG (4);no;0;;0;
371;DOÑA FLORA GRASA X 500 (B10);no;22;;5;
372;DOÑA FLORA GRASA X 1 KG (B12);no;23;;6;
373;MASAS Y BATIDOS DOÑA FLORA (B12);no;0;;0;
374;KETCHUP DANICA X 220 (B24);no;67;;7;
375;MOSTAZA DANICA X 220 (B24);no;6;;12;
376;SALSA GOLF DANICA X 220 (B24);no;-1;;-9;
377;KETCHUP D´FIESTA X 220 (B24);no;1;;23;
378;MOSTAZA D´FIESTA X 220 (B24);no;1;;0;
387;DULCE LECHE CARTON FAM X 1 KG (12);no;1;;3;
388;DULCE LECHE PASTELERO VC X 3 KG ;no;11;;0;
389;DULCE LECHE REPOS.VC X 400 GRS (24);no;10;;18;
391;DULCE LECHE FAMILIAR VC X 200 GRS (B36);no;18;;17;
392;DULCE LECHE FAMILIAR VC X 400 GRS (B24);no;13;;13;
393;DULCE LECHE REPOSTERO VC X 1 KG (B12);no;0;;0;
394;DULCE LECHE FAMILIAR VC X 1 KG (B12);no;9;;7;
395;DULCE LECHE FAMILIAR VC X 10 KG;no;5;;0;
396;DULCE LECHE REPOSTERO VC X 3 KG;no;15;;0;
397;DULCE LECHE REPOSTERO VC X 10 KG;no;25;;0;
398;DULCE LECHE PASTELERO VC X 10 KG;no;71;;0;
400;EMETH BATATA VAINILLA CAJON X 5 KG;no;336;;0;
401;EMETH BATATA CHOCOLATE CAJON X 5 KG;no;134;;0;
402;EMETH MEMBRILLO CAJON X 5 KG;no;418;;0;
403;EMETH BATATA VAINILLA LATA X 5 KG;no;27;;0;
404;EMETH BATATA CHOCO LATA X 5 KG;no;10;;0;
405;EMETH MEMBRILLO LATA X 5 KG;no;5;;0;
406;EMETH BATATA BANDEJA 500 (B12);no;29;;10;
407;EMETH B.CHOC BANDEJA X 500 (B12);no;9;;5;
408;EMETH MEMBRI BANDEJA X 500 (B12);no;27;;1;
409;EMETH BATATA VAINILLA X 500 (B12);no;37;;10;
410;EMETH BATATA CHOCO X 500 (B12);no;30;;4;
411;EMETH MEMBRILLO X 500 (B12);no;44;;8;
412;EMETH BIZCOCHUELO VAINILLA (B12);no;40;;5;
413;EMETH BIZCOCHUELO C/CHIP (B12);no;18;;8;
414;EMETH BIZCOCHUELO COCO (B12);no;22;;11;
415;EMETH BIZCOCHUELO CHOCOLATE (B12);no;21;;1;
416;EMETH BIZCOCHUELO D/LECHE (B12);no;10;;11;
417;EMETH BIZCOCHUELO LIMON (B12);no;23;;5;
418;EMETH BIZCOCHUELO NARANJA (B12);no;27;;8;
419;EMETH MERM.CIRUELA POTE X 420 (B12);no;26;;5;
420;EMETH MERM.DURAZNO POTE (B12);no;28;;4;
421;EMETH MERM.DAMAZCO POTE (B12);no;14;;3;
422;EMETH MERM.NARANJA POTE (B12);no;9;;8;
423;EMETH MERM.FRUTILLA POTE (B12);no;5;;1;
424;EMETH MERM.CIRUELA FRASCO (B6);no;14;;2;
425;EMETH MERM.DURAZNO FRASCO (B6);no;13;;1;
426;EMETH MERM.DAMASCO FRASCO (B6);no;5;;1;
427;EMETH MERM.NARANJA FRASCO (B6);no;9;;0;
428;EMETH MERM.FRUTILLA FRASCO (B6);no;7;;3;
429;EMETH MERM. ARANDANO FRASCO (B6);no;5;;0;
430;EMETH MERM.FRAMBUESA FRASCO (B6);no;2;;0;
431;EMETH MERM.FRUTOS BOSQUE FCO (B6);no;1;;1;
432;EMETH MERM.CIRUELA B/C FRASCO (B6);no;9;;4;
433;EMETH MERM.DURAZNO B/C FRASCO (B6);no;3;;0;
434;EMETH MERM.DAMASCO B/C FCO. (B6);no;5;;5;
435;EMETH MERM.NARANJA B/C FCO (B6);no;4;;2;
436;EMETH MERM.FRUTILLA B/C FCO  (B6);no;2;;0;
437;EMETH MERM. ARANDANO B/C FCO  (B6);no;0;;5;
438;EMETH MERM.FRAMBUEZA B/C FCO  (B6);no;0;;3;
439;EMETH MERM.FRUTOS DEL BOSQUE B/C FCO (B6);no;4;;5;
440;EMETH GELATINA ANANA (B6);no;42;;3;
441;EMETH GELATINA CEREZA (B6);no;22;;5;
442;EMETH GELATINA DURAZNO (B6);no;36;;4;
443;EMETH GELATINA FRAMBUESA (B6);no;15;;0;
444;EMETH GELATINA FRUTILLA (B6);no;16;;3;
445;EMETH GELATINA NARANJA (B6);no;24;;3;
446;EMETH FLAN VAINILLA (B6);no;21;;3;
447;EMETH FLAN DE CHOCOLATE (B6);no;18;;0;
448;EMETH FLAN DE DULCE DE LECHE (B6);no;12;;1;
449;EMETH POSTRE VAINILLA (B6);no;6;;2;
450;EMETH POSTRE CHOCOLATE (B6);no;7;;3;
451;EMETH POSTRE DULCE DE LECHE (B6);no;4;;1;
452;EMETH AZUCAR IMPALPABLE (B12);no;2;;2;
453;EMETH CACAO POUCH X 180 GRS (B12);no;2;;0;
454;EMETH CACAO CAJITA X 180 GRS (B6);no;4;;0;
455;EMETH VAINILLA LIQUIDA (B24);no;49;;20;
456;EMETH CACAO POUCH X 400 GRS (B12);no;0;;0;
469;EMETH BROWNIE X 425 (B12);no;0;;1;
470;EMETH VAINILLA LIQUIDA X 5 LITROS;no;5;;0;
471;EMETH MERM MEMBRILLO POTE X 10 KG;no;30;;0;
472;EMETH GUINDAS ROJAS BALDE X 5 KG;no;2;;0;
493;DULCOR TOMATE TRIT BOTELLON (P8);no;12;;7;
495;DULCOR DURAZNO MIT X 820 GRS (12);no;149;;3;
500;RIEDMAR PEPAS X 400 (B12);no;56;;3;
501;RIEDMAR SCONS X 400 (B12);no;48;;7;
502;RIEDMAR SOL DE COCO X 400 (B12);no;6;;0;
503;RIEDMAR CHOCO MIX X 350 (B12);no;27;;0;
504;RIEDMAR PEPA NEVADA X 350 (B12);no;27;;2;
505;RIEDMAR PEPA CHOCO X 350 (B12);no;23;;0;
506;RIEDMAR RUBIAS X 400 (B12);no;23;;0;
507;RIEDMAR MORENAS X 400 (B12);no;24;;0;
508;RIEDMAR BONITAS X 350 (B12);no;46;;0;
509;RIEDMAR PEPAS X 180 (B24);no;0;;0;
510;RIEDMAR ANILLOS VAINILLA X 400 (B12);no;49;;0;
511;RIEDMAR ANILLOS LIMON X 400 (B12);no;24;;0;
512;RIEDMAR ANILLOS COCO X 400 (B12);no;28;;0;
514;RIEDMAR COOKIES MANI CHIP (B16);no;14;;0;
515;RIEDMAR COOKIES CHOCO CHIP (B16);no;5;;0;
518;OVNI ANILLITOS FRUTALES X 1 KG (B10);no;0;;2;
